Sound sensor initialization complete.
Sound Level: 64 dB
Sound threshold exceeded!
Sound Level: 34 dB
Sound Level: 34 dB
Sound Level: 32 dB
Sound Level: 45 dB
Sound threshold exceeded!
Sound Level: 44 dB
Sound threshold exceeded!
Sound Level: 40 dB
Sound Level: 39 dB
Sound Level: 38 dB
Sound Level: 36 dB
Sound Level: 33 dB
Sound Level: 32 dB
Sound Level: 32 dB
Sound Level: 36 dB
Sound Level: 35 dB
Sound Level: 38 dB
Sound Level: 43 dB
Sound threshold exceeded!
Sound Level: 36 dB
Sound Level: 35 dB
Sound Level: 32 dB
Sound Level: 36 dB
Sound Level: 33 dB
Sound Level: 40 dB
Sound Level: 42 dB
Sound threshold exceeded!
Sound Level: 39 dB
Sound Level: 38 dB
Sound Level: 32 dB
Sound Level: 34 dB
Sound Level: 38 dB
Sound Level: 38 dB
Sound Level: 38 dB
Sound Level: 36 dB
Sound Level: 32 dB
Sound Level: 32 dB
Sound Level: 32 dB
Sound Level: 33 dB
Sound Level: 39 dB
Sound Level: 44 dB
Sound threshold exceeded!
Sound Level: 39 dB
Sound Level: 36 dB
Sound Level: 34 dB
Sound Level: 34 dB
Sound Level: 35 dB
Sound Level: 36 dB
Sound Level: 37 dB
Sound Level: 39 dB
Sound Level: 37 dB
Sound Level: 36 dB
Sound Level: 35 dB
Sound Level: 32 dB
Sound Level: 35 dB
Sound Level: 39 dB
Sound Level: 34 dB
Sound Level: 37 dB
Sound Level: 37 dB
Sound Level: 35 dB
Sound Level: 37 dB
Sound Level: 40 dB
Sound Level: 39 dB
Sound Level: 38 dB
Sound Level: 37 dB
Sound Level: 35 dB
Sound Level: 33 dB
